id,artist,lastfm_artist_bio
368,O.A.R.,"O.A.R. (Of A Revolution) is an alternative rock band which formed in Rockville, Maryland, United States in 1996. The band consists of Marc Roberge (vocals, guitar), Chris Culos (drums, percussion), Richard On (guitar, backing vocals), Benj Gershman (bass), and Jerry DePizzo (saxophone, guitar, backing vocals). The band has released seven albums: ""The Wanderer"" (1997), Soul's Aflame (2000), ""Risen"" (2001), ""In Between Now and Then"" (2003), ""Stories of a Stranger"" (2005), ""All Sides"" (2008), and King (2011).  Read more on Last.fm"
369,Oasis,"Oasis is an English alternative rock band formed in Manchester in 1991. Originally known as the Rain, the group initially consisted of Liam Gallagher (lead vocals, tambourine), Paul Arthurs (guitar), Paul McGuigan (bass guitar) and Tony McCarroll (drums). Liam's older brother Noel (lead guitar, vocals) later joined as a fifth member, finalising the group's core lineup. During the course of their existence, they had various lineup changes, with the Gallagher brothers remaining the only staple members. Read more on Last.fm"
370,Ocean Colour Scene,"Ocean Colour Scene (often abbreviated to OCS) are an English rock band formed in Birmingham in 1989. They have had five top 10 albums including a number one in 1997. They have also achieved seventeen top 40 singles and six top 10 singles to date. They were formed after two other bands called The Boys and Fanatics disbanded. Fanatics released an EP titled Suburban Love Songs. OCS signed to Phfftt Records in 1990. Their first single, ""Sway"", was released in September 1990 during the alternative era. Read more on Last.fm"
371,Offspring,"Incorrect tag for The Offspring. Keep stats clean by fixing your ID3 tags, or leave auto-correction on. Don't cheat the artist of plays and listeners, 1.6million is quite enough don't you think?

-----
An 80's British punk/Oi! band. Featured on Mystic Records' ""The Sound of U.S. Colonies: Airstrip One"" LP compilation. Read more on Last.fm"
372,Ofra Haza,"Ofra Haza (עפרה חזה) (born as Bat-Sheva Ofrah Hazah in the working class neighborhood of Hatikva, Tel Aviv, Israel on 19 November 1957 - died 23 February 2000) was an Israeli singer, songwriter and actress.

Of Mizrahi Jewish (Yemenite-Jewish) descent, Haza's music is known as a mixture of traditional Middle Eastern and commercial singing styles, fusing elements of Eastern and Western instrumentation, orchestration and dance-beat, as well as lyrics from Mizrahi and Jewish folk tales and poetry. Read more on Last.fm"
373,Oingo Boingo,"Richard Elfman founded the theatrical troupe The Mystic Knights of the Oingo Boingo. In 1978 the remnants of the Mystic Knights formed together under lead singer Danny Elfman as the band Oingo Boingo. The hyperkinetic ska-flavored New Wave band is characterized by their manic live performances and eclectic range of songs; Elfman and the band performed for a remarkable twenty years.

The band from Los Angeles, California, USA, a pared-down version of the theatrical troupe The Mystic Knights of the Oingo Boingo Read more on Last.fm"
374,Old 97's,"Old 97's is an alt-country band originally based in Dallas, Texas, USA. The group formed in 1993 and took their name from a song popularized by Johnny Cash, ""Wreck of the Old '97"". They describe themselves as a rock band with influences as varied as the Kinks, the Beatles, Pixies, David Bowie, X, and Merle Haggard. The band often performs songs made famous by the latter two musicians, and has interspersed a number of these on their eight releases since 1994. Read more on Last.fm"
375,Oliver,"There are at least 13 artists with this name:

1) An electronica duet from Los Angeles
2) William Oliver Swofford
3) Belgian Rock / Pop singer (Junior Eurovision)
4) Romanian rock band
5) Oliver Ching from Hong Kong
6) American band from the West Coast of the USA
7) Finnish rock band
8) Sydney, Australia rock band
9) Oliver (Vocaloid)
10) Oliver Dragojević, Croatian legend
11) An alternative teenager from Arizona
12) Oliver Chaplin
13) Oliver Francis, an indie rapper from Columbia, United States Read more on Last.fm"
376,Olivia Newton-John,"Olivia Newton-John AC DBE (born in Cambridge on 26 September 1948; died 8 August 2022) was a British-born Australian-raised singer, songwriter, actress, entrepreneur and activist. She was a four-time Grammy Award winner whose music career included five number-one hits and another ten top-ten hits on the US Billboard Hot 100, and two Billboard 200 number-one albums, If You Love Me, Let Me Know (1974) and Have You Never Been Mellow (1975). Eleven of Read more on Last.fm"
377,Olly Murs,"Oliver Stanley ""Olly"" Murs (born May 14, 1984 in Witham, Essex, England) is an English singer-songwriter. He achieved second place on the sixth series of The X Factor in 2009. In early 2010, he was signed to Syco Music and Epic Records, which are owned by Sony Music. After he toured with X Factor Finalists tour, he began recording his debut album.

Murs' debut single, ""Please Don't Let Me Go"" charted at number one on the UK Singles Chart, after releasing it on 27 August, beating Katy Perry's ""Teenage Dream"" to the #1 spot. Read more on Last.fm"
378,Omd,"Orchestral Manoeuvres in the Dark (often abbreviated to OMD) are a synthpop group whose founding members are originally from the Wirral Peninsula, England. OMD record for Virgin Records (originally for Virgin's DinDisc subsidiary).

The group was founded by Andy McCluskey and Paul Humphreys, and they formed the core of the outfit until 1989, when the group split. McCluskey then retained the name and continued to record and tour as OMD with a new line-up. Read more on Last.fm"
379,One Direction,"One Direction (commonly abbreviated to 1D) were a British-Irish boy group, active from 2010 until going on indefinite hiatus in 2016. The original 5-member group was made up of Liam Payne (born 29 August 1993 from Wolverhampton,  - died 16 October 2024 in Buenos Aires, Argentina) Louis Tomlinson (born 24 December 1991) from Doncaster, Niall Horan (born 13th September 1993 from Mullingar, Westmeath, Ireland), Harry Styles, (born 1 February 1994) from Holmes Chapel Read more on Last.fm"
380,OneRepublic,"OneRepublic - an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area Read more on Last.fm"
381,Opeth,"Opeth is a progressive death metal band from Sweden that is influenced by many diverse musical styles ranging from 1970s progressive rock to death metal, Their recent releases have deviated from their traditional death metal-influenced style, with more emphasis on progressive elements. Frontman and vocalist Mikael Åkerfeldt is also noted for utilizing both clean singing and death growls, often in the same song. Due to their unique blend of melodic and progressive elements Read more on Last.fm"
382,Orphaned Land,"Orphaned Land is a progressive metal band from Petah Tikva, Israel, formed in 1991. They combine oriental elements and traditional Jewish folk music with slow doom/death metal.

Orphaned Land is a doom/death band at its core, but they are highly influenced by the folk music and tradition of the Oriental Jews (Mizraḥim), making their sound much more progressive than typical doom/death bands. Their album Sahara (1994) was the first to include a combination of death metal and traditional oriental music. Read more on Last.fm"
383,Oscar Hammerstein,Read more on Last.fm
384,Otis Redding,"Otis Ray Redding Jr. (September 9, 1941 – December 10, 1967) was an American singer, songwriter, record producer, arranger, and talent scout. He is considered one of the greatest singers in the history of American popular music and a seminal artist in soul music and rhythm and blues. Redding's style of singing gained inspiration from the gospel music that preceded the genre. His singing style influenced many other soul artists of the 1960s. During his lifetime, his recordings were produced by Stax Records, based in Memphis, Tennessee. Read more on Last.fm"
385,Our Lady Peace,"Our Lady Peace is an alternative rock band formed in Toronto, Ontario, Canada in 1992. 

The band has sold over five million albums worldwide, won four Juno Awards, and ten MuchMusic Video Awards. OLP has released eight studio albums to date, with ""Clumsy"" often being considered the most popularized of the set. The Heavyweight Songfacts reports that their eighth studio album  Curve was recorded from 2010 through 2012 at vocalist Raine Maida's home recording studio. It was released on April 3, 2012. Read more on Last.fm"
386,Out Of Eden,"Gospel soul-sisters in more than just name, Lisa, Andrea and Joy Kimmey became popular as the first Christian Contemporary group of the '90s to take back soul/R&B from the secular masses. Born in Richmond, VA, between 1975 and 1980, the Kimmey sisters grew up on stage, performing as a support act for their mother, who is a classical pianist. Signed to the Gotee label by Joey Elwood and Todd Collins, Out of Eden delivered their first album Lovin' the Day in 1994. Read more on Last.fm"
387,Outkast,"OutKast is an American hip-hop duo from Atlanta, Georgia, United States.  The duo is one of the most successful hip-hop groups of all time, having received six Grammy Awards.   Over 25 million copies have been sold of Outkast's seven releases: six studio albums—including one double album—and a greatest hits release. 

The group's original musical style was a mixture of Dirty South and G-Funk.  Since then funk, soul, pop, electronic music, rock, spoken word poetry, jazz, and blues have been added to the group's musical palette. Read more on Last.fm"
388,Overkill,"Overkill is an American thrash metal band, formed in 1980 in New Jersey. They have gone through many lineup changes, leaving bassist D.D. Verni and lead vocalist Bobby ""Blitz"" Ellsworth as the only constant members. In addition to Verni and Ellsworth, Overkill's current lineup includes Dave Linsk on lead guitar, Derek Tailer on rhythm guitar and Jason Bittner on drums. Along with Nuclear Assault and Anthrax, whose one-time lead guitarist Dan Spitz was also an early member of Overkill Read more on Last.fm"
389,Owl City,"Owl City is the solo electronica musical project by American singer-songwriter Adam Young.

Young also records under the names Sky Sailing, Port Blue, Color Therapy, Insect Airport, Seagull Orchestra and his own name, Adam Young.

Young started out making music in 2007 in his basement in his hometown of Owatonna, Minnesota, United States, later developing a following through his MySpace profile before being signed to Universal Republic. Young has released seven albums under the Owl City moniker: ""Maybe I'm Dreaming"" (2008) Read more on Last.fm"
390,Ozzy Osbourne,"Ozzy Osbourne (born John Michael Osbourne in Marston Green, Warwickshire, on 3 December 1948; died 22 July 2025) was an English singer, songwriter, and media personality remembered as the lead vocalist of the heavy metal band Black Sabbath, during which period he adopted the nickname ""Prince of Darkness"". On 5 July 2025, Osbourne performed his final show at the ""Back to the Beginning"" concert event. 

He was inducted into the Rock and Roll Hall of Fame as a member of Black Sabbath in 2006 and as a solo artist in 2024. Read more on Last.fm"
391,Passenger,"There are at least six artists and bands who have performed with the name ""Passenger"". The following order is loosely based on the last.fm statistics.

1. A Brighton (UK) based alternative folk band 
2. A Swedish alternative metal band including members of In 
Flames. Now filed under Passenger (SWE).
3. A San José, Costa Rica hardcore/screamo band.
4. A Mesa, Arizona based acoustic rock band.
5. A rap artist from Texas.
6. An old alias of DJ Tiësto. Read more on Last.fm"
392,Pat Benatar,"Pat Benatar is a four-time Grammy winning musician with six platinum and four gold albums to her credit. Singing such hit singles as ""I Need a Lover"", ""Heartbreaker"", ""Fire and Ice"", ""Treat Me Right"", ""Hit Me with Your Best Shot"", ""Hell Is for Children"", ""Shadows of the Night"", and ""Love Is a Battlefield"", Benatar is acknowledged as one of the leading female rock vocalists in the industry.

She was born in the neighborhood of Greenpoint in Brooklyn, New York City, New York on January 10, 1953 as Patricia Andrzejewski. Read more on Last.fm"
393,Patsy Cline,"Patsy Cline (born Virginia Patterson Hensley; September 8, 1932 – March 5, 1963) was an American singer. She is considered one of the most influential vocalists of the 20th century and was one of the first country music artists to successfully cross over into pop music. Cline had several major hits during her eight-year recording career, including two number-one hits on the Billboard Hot Country and Western Sides chart.

Cline's first professional performances began at the local WINC radio station when she was fifteen. Read more on Last.fm"
394,Patti Smith,"Patricia Lee ""Patti"" Smith (born December 30, 1946) is an American singer, poet and visual artist who was a highly influential component of the New York punk rock movement, particularly with her 1975 début album 'Horses'. Called the ""Godmother of Punk"", she integrated the beat poetry performance style with three-chord rock. Smith's most widely known song is ""Because the Night"", which was co-written with Bruce Springsteen and reached number 13 on the Billboard Hot 100 chart in 1978. Read more on Last.fm"
395,Paul McCartney,"Sir James Paul McCartney CH MBE (born 18 June 1942) is an English singer, songwriter, musician, and record and film producer who gained worldwide fame as co-lead vocalist and bassist for the Beatles. His songwriting partnership with John Lennon remains the most successful in history. After the group disbanded in 1970, he pursued a solo career and formed the band Wings with his first wife, Linda, and Denny Laine.

A self-taught musician, McCartney is proficient on bass, guitar, keyboards, and drums. Read more on Last.fm"
396,Paul Simon,"Paul Frederic Simon (born October 13, 1941) is an American singer-songwriter. One of the most celebrated artists of the twentieth century, Simon's career has spanned six decades. Born in New Jersey, Simon grew up in the borough of Queens in New York City and developed an interest in rock music in his teens.

He began performing with his schoolfriend Art Garfunkel in 1956; together the two came to prominence in the 1960s as Simon & Garfunkel. The duo's blend of folk and rock music in hits like ""The Sound of Silence"", ""Mrs. Read more on Last.fm"
397,Pearl Jam,"Pearl Jam is an American grunge/alternative rock band formed in Seattle, Washington, in 1990. The band's lineup consists of founding members Jeff Ament (bass guitar), Stone Gossard (rhythm guitar), Mike McCready (lead guitar), and Eddie Vedder (lead vocals, guitar), as well as Matt Cameron (drums), who joined in 1998. Keyboardist Boom Gaspar has also been a touring/session member with the band since 2002. Drummers Jack Irons, Dave Krusen, Matt Chamberlain, and Dave Abbruzzese are former members of the band. Read more on Last.fm"
398,Perry Como,"Pierino Ronald ""Perry"" Como (May 18, 1912 – May 12, 2001) was an Italian American crooner during the 20th century. Throughout a career spanning more than half a century he recorded exclusively with the RCA Victor label after signing with them in 1943. He sold millions of records for RCA but he also pioneered a weekly musical variety television show which set the standard and proved one of the most successful in television history. His combined success Read more on Last.fm"
399,Pet Shop Boys,"Pet Shop Boys is a British synthpop/dance music duo, consisting of Neil Tennant and Chris Lowe and were formed in London, UK in 1981.

Post-modern ironists cloaked behind a veil of buoyantly melodic and lushly romantic synth pop confections, Pet Shop Boys offer wry yet strangely affecting cultural commentary communicated by the Morse code of synth washes and drum machine rhythms. After first emerging in the mid-'80s with ""West End Girls"" and ""Opportunities (Let's Make Lots of Money) Read more on Last.fm"
400,Peter Cetera,"Peter Paul Cetera (born September 13, 1944 in Chicago, Illinois, USA) is an American singer, songwriter, bass guitar player and producer best known for being an original member of the rock band Chicago, before launching a successful solo career.

In 1981, Cetera released his first solo album on Warner Bros. Records. The album was a commercial failure, which Cetera has attributed to Warner Bros.' refusal to promote him as a solo artist out of fear that he would leave Chicago, who had only recently signed with the label. Read more on Last.fm"
401,Peter Gabriel,"Peter Brian Gabriel (born 13 February 1950) is an English musician, singer, songwriter, record producer, and activist. He rose to fame as the original lead singer of the progressive rock band Genesis. After leaving Genesis in 1975, he launched a successful solo career with ""Solsbury Hill"" as his first single. His fifth studio album, So (1986), is his best-selling release and is certified triple platinum in the UK and five times platinum in the US. Read more on Last.fm"
402,Peter Tosh,"Winston Hubert McIntosh, OM (19 October  1944 – 11 September 1987), professionally known as Peter Tosh, was a Jamaican reggae musician. Along with Bob Marley and Bunny Wailer, he was one of the core members of the band the Wailers (1963–1976), after which he established himself as a successful solo artist and a promoter of Rastafari. He was murdered in 1987 during a home invasion.

Early music and with the Wailers
Tosh was born in Westmoreland, the westernmost parish of Jamaica. Read more on Last.fm"
403,Pharrell Williams,"Pharrell Williams (born April 5, 1973 in Virginia Beach, Virginia, United States), also known by his mononym Pharrell, is an American singer-songwriter, rapper, record producer, and fashion designer. Williams and Chad Hugo make up the record production duo the Neptunes, producing soul, hip hop and R&B music. He is also the lead vocalist and drummer of rock, funk, and hip hop band N*E*R*D, which he formed with Hugo and childhood friend Shay Haley. Read more on Last.fm"
404,Phil Collins,"Philip David Charles Collins (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins scored three UK and seven US number-one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s. Read more on Last.fm"
405,Phineas And Ferb,"Phineas and Ferb is a Disney Channel cartoon series that centers on two step-brothers and their adventures in their backyard during summer vacation. The show had four sneak peeks of the series, on August 17, 2007, after High School Musical 2 on September 28, 2007, after Disney Channel's premiere of Sky High, and another on November 23, 2007 after High School Musical Pop-Up Edition. The series premiered worldwide on February 1, 2008. It is also the first DCOS to premiere simultaneously worldwide. Read more on Last.fm"
406,Phish,"Phish is a rock band which formed in 1983 in Burlington, Vermont, United States. For most of their career, the group's lineup has consisted of Trey Anastasio (guitar, vocals), Page McConnell (keyboards, vocals), Mike Gordon (bass, vocals) and Jon Fishman (drums, vocals, vacuum cleaner).

The band is known for musical improvisation, extended jams, blending of genres, and a rigorous touring schedule that draws a famously dedicated fan base. Their music blends elements of a wide variety of genres Read more on Last.fm"
407,Pink Floyd,"Pink Floyd was an English progressive and art rock band formed in London in 1965. Gaining an early following as one of the first British psychedelic groups, they were distinguished by their extended compositions, sonic experimentation, philosophical lyrics and elaborate live shows. They became a leading band of the progressive rock genre, cited by some as the greatest progressive rock band of all time.

Pink Floyd were founded in 1965 by Syd Barrett (guitar Read more on Last.fm"
408,Pitbull,"Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is an American rapper signed to his own label, Mr 305 Inc. The Give Me Everything (Tonight) Songfacts reports that he adopted his canine moniker because, ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything that I am. It's been a constant fight.""

His first recorded performance was on Lil Jon & the East Side Boyz album Kings of Crunk in 2002 Read more on Last.fm"
409,Planetshakers,"Forming for the first Planetshakers Conference in 1997, Australian Christian Worship band, Planetshakers is passionate to see generations worldwide unite together to worship God. Their heart is to see people encounter God, be transformed by his presence and empowered to make a difference in their world.

Hailing originally from Adelaide, the Planetshakers Band is now based in Melbourne at Planetshakers City Church, under the leadership of Senior Pastors Russell and Sam Evans. Read more on Last.fm"
410,P!nk,"Alecia Beth Moore (born September 8, 1979 in Doylestown, PA), known professionally as Pink (stylized as P!nk), is an American singer and songwriter. She was originally a member of the girl group Choice. In 1995, LaFace Records saw potential in Pink and offered her a solo recording contract. Her R&B-influenced debut studio album Can't Take Me Home (2000) was certified double-platinum in the United States and spawned two Billboard Hot 100 top-ten songs: ""There You Go"" and ""Most Girls"". Read more on Last.fm"
411,Pogues,"The Pogues is a band of mixed Irish and English background, playing traditional Irish music with influences from punk rock and folk, formed in 1982 and fronted by Shane MacGowan. The band reached international prominence in the 1980s and early 1990s. MacGowan left the band in 1991 due to drinking problems but the band continued first with Joe Strummer and then with Spider Stacy on vocals before breaking up in 1996.[1] The band reformed in 2001, and has been playing regularly ever since Read more on Last.fm"
412,Point Of Grace,"Point of Grace is a group of Christian pop music singers and authors. This all-ladies trio consists of Shelley Breen, Denise Jones, and Leigh Cappillino. The group started out as a quartet in 1991, with original members Breen and Jones, as well as Terry Jones and Heather Payne. In November 2003, Terry Jones decided she needed to spend more time with her family after giving birth to her third child, and left the group, with Cappillino joining in March 2004 for their 2004 release I Choose You. Read more on Last.fm"
413,Poison,"Poison is a glam metal band from Los Angeles, California, formed by drummer Rikki Rockett and singer Bret Michaels in 1983. Their first band together was called the Spectres. They left the Spectres and started Paris with bassist Bobby Dall. They then moved to Los Angeles, where they parted ways with guitarist Matt Smith. Many people tried out for Poison's vacant lead guitar spot, including soon-to-be Guns N' Roses lead axeman Slash.

After hiring C. Read more on Last.fm"
414,Pretenders,"Pretenders are a rock band who came to prominence during the punk and new wave movement of the late 1970s due to their innovative songwriting and charismatic performances. The original band consisted of group founder, songwriter, vocalist, and rhythm guitarist Chrissie Hynde, lead and rhythm guitarist James Honeyman-Scott, bassist Pete Farndon, and drummer Martin Chambers. Save for Hynde, a native of Akron, Ohio, the original band members were all from the U. Read more on Last.fm"
415,Primus,"Primus is a San Francisco-based alternative rock band formed in the mid-1980s by bassist Les Claypool and guitarist Todd Huth. Les (vocals and bass guitar) has been the only constant member. They have had two guitar players (although Larry has held onto the role for the past 30 years) and many different drummers (although Tim Alexander, Bryan Mantia and Jay Lane were the only ones who recorded with the band) in the past. 

Their music has proven difficult to define; while usually considered by critics to be funk metal or alternative metal Read more on Last.fm"
416,Prince,"Prince Rogers Nelson (June 7, 1958 – April 21, 2016), more commonly known mononymously as Prince, was an American singer-songwriter, musician, and record producer. The recipient of numerous awards and nominations, he is widely regarded as one of the greatest musicians of his generation. He was known for his flamboyant, androgynous persona; his wide vocal range, which included a far-reaching falsetto and high-pitched screams; and his skill as a multi-instrumentalist, often preferring to play all or most of the instruments on his recordings. Read more on Last.fm"
417,Proclaimers,"Incorrect tag for The Proclaimers. Keep stats clean by fixing your ID3 tags, or leave auto-correction on. Don't cheat the artist of plays and listeners... Read more on Last.fm"
418,Procol Harum,"Procol Harum is a British rock band formed in London, England, in 1967. They contributed to the development of progressive rock, and by extension, symphonic rock. The band's claim to fame is 'A Whiter Shade of Pale', a huge hit in 1967. The band differed from most of the progressive rock bands of the 70s in the relatively prominent blues component to their sound, largely due to the voice and piano of leader Gary Brooker. In the early years, Matthew Fisher's organ and Robin Trower's guitar combined for a unique sound. Read more on Last.fm"
419,Puff Daddy,"Sean John Combs (born November 4, 1969), known professionally as Diddy (formerly Puff Daddy and P. Diddy), is an American rapper, record producer, and record executive. Born in Harlem, Combs worked as a talent director at Uptown Records before founding his own record label, Bad Boy Records, in 1993. He is credited with the discovery and development of musical artists such as The Notorious B.I.G., Mary J. Blige, and Usher, among others.

Combs's debut studio album Read more on Last.fm"
420,Q-Tip,"Kamaal Ibn John Fareed (born Jonathan William Davis, April 10, 1970 in Harlem, New York), also known by his stage names Q-Tip, Kamaal the Abstract and The Abstract Poetic, is an American Grammy Award winning rapper, actor, producer and the former leader of the group A Tribe Called Quest. He converted to Islam in the mid-1990s and changed his name to Kamaal Ibn John Fareed. He later moved to Jamaica, Queens, New York as a child. As referenced in the song ""Check the Rhime"", he mostly resided at Linden Boulevard. Read more on Last.fm"
421,Qntal,"When they brought out their debut album in 1992, their first recording left no doubt that QNTAL were an act who would leave their mark on the music landscape. Their double best-of release ""Purpurea"" sees the trio present a wonderful retrospective, in premium packaging and full to the brim with all the highlights and remixes of their career to date. Combatants of the scene, journalists and fans bow to a band who have changed a lot and have become the spearheads of a musical movement. Read more on Last.fm"
422,Quarashi,"Quarashi is a rap/hip-hop band from Reykjavík, Iceland, active from  1996 through 2005, then they reunited in 2016 to work on a new album. It is comprised of Höskuldur ""Hössi"" Ólafsson (replaced by Tiny (real name Egill Ólafur Thorarensen) on the final album), who was the lead vocalist and frontman of the group, Omar Swarez (Ómar Örn Hauksson), who served as a rapper and hype man, and Steini a.k.a. Stoney (Steinar Orri Fjeldsted), who also served as a rapper and hype man. Read more on Last.fm"
423,Quarterflash,"Quarterflash was a pop/rock group best known for their 1981 hit ""Harden My Heart"". That track appeared on their critically praised eponymous debut album. The band was led by vocalist and saxophonist Rindy Ross as well as her husband, the guitarist Marv Ross. Guitarist Jack Charles, keyboardist Rick DiGiallonardo, bassist Rich Gooch, and drummer Brian David Willis rounded out the line-up.

Initially known as ""Seafood Mama"", the group gained a strong local following playing bars and nightclubs in Portland, Oregon. Read more on Last.fm"
424,Quasi,"Quasi is an indie rock band formed in Portland, Oregon in 1993, consisting of the ex-husband and wife team of Sam Coomes (vocals, guitar, roxichord, various keyboards) and Janet Weiss (vocals and drums). In 2007, bassist Joanna Bolme, of Stephen Malkmus and the Jicks, who had toured with Quasi in 2006, became an official member of the band; she left the band in 2011.

In 1990, Coomes, Weiss, and Brad Pedinov formed the band Motorgoat. The band released two self-released cassettes and one 7"" single before dissolving in 1993. Read more on Last.fm"
425,Queen,"Queen is a British rock band formed in London in 1970 by Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), and Roger Taylor (drums, vocals), later joined by John Deacon (bass). Their earliest works were influenced by progressive rock, hard rock, and heavy metal, but the band gradually ventured into more conventional and radio-friendly styles by incorporating elements of arena rock and pop rock.

Before forming Queen, May and Taylor had played together in the band Smile. Read more on Last.fm"
426,Queen Adreena,"Queen Adreena were an alternative rock band from London, England that formed in 1999. Described at various times as “art, punk, gothic, metal, rock, or alternative”, Queen Adreena's music is difficult to categorize.

Formed by singer Katie Jane Garside and guitarist Crispin Gray, they had previously collaborated in the celebrated but short-lived band Daisy Chainsaw. Garside and Gray did not cross paths again until 1999 when they formed Queen Adreena. Read more on Last.fm"
427,Queen Latifah,"Famed rapper, singer, model and actress Dana Elaine Owens, better known by her stage name Queen Latifah, was born on March 18, 1970, in Newark, New Jersey. Her debut album All Hail to the Queen sold more than 1 million copies, and the single U.N.I.T.Y. earned Latifah her first Grammy Award. Latifah has also garnered acclaim for acting; she earned her first Oscar nomination (best supporting actress) for her performance in the blockbuster musical Chicago. Read more on Last.fm"
428,Queens Of The Stone Age,"Queens of the Stone Age is a rock band from Palm Desert, California, United States. The band is frequently labeled stoner rock, although they reject the label. They developed a style of riff-oriented, heavy music which the band's founder and mastermind Josh Homme described as ""robot rock"", saying that he ""wanted to create a heavy sound based on a solid jam, just pound it into your head"". Since then, their sound has evolved to incorporate a variety of different styles and influences. Read more on Last.fm"
429,Queensryche,"Yes, I did mean Queensrÿche, but cannot do the dots ;-) 

ALT+152 = ÿ
(Press Alt Key, while holding Alt key type 152 in numpad, and release the Alt key)
(For Microsoft Wndows)

Don't blame me for this, blame Spotify.

We can't change Spotify tags.  Read more on Last.fm"
430,Quicksand,"Alternative metal band Quicksand emerged from the New York City hardcore scene of the late '80s, releasing two influential, early- to mid-'90s studio albums. Although a 1997 reunion resulted in a U.S. tour, their subsequent split the following year meant that fans had to wait a further 20 years to see a third album by the group. That return to the studio, 2017's Interiors, was followed comparatively swiftly by 2021's acclaimed Distant Populations. Read more on Last.fm"
431,Quicksilver Messenger Service,"Quicksilver Messenger Service is an American psychedelic rock band, formed in 1965 in San Francisco. Of all the bands that came out of the San Francisco area during the late 60s, Quicksilver Messenger Service typified the style, attitude and sound of that era. Dogged by early personnel changes, the original band in 1964 comprised of vocalist Dino Valenti, guitarist John Cipollina, David Freiberg on bass and vocals, Jim Murray on vocals and harmonica, and drummer Casey Sonoban. Read more on Last.fm"
432,Quiet Riot,"Quiet Riot is an American heavy metal band whose 1983 chart topping success helped pave the way for the glam metal scene's next decade of commercial prominence. They are best known for their 'Metal Health' album, which displaced Michael Jackson’s 'Thriller' album from the #1 chart spot. Their tunes ""Metal Health (Bang Your Head)"" and ""Cum On Feel the Noize"" in particular continue to receive widespread airplay.

They were founded in 1975 by guitarist Read more on Last.fm"
433,Quietdrive,"Quietdrive is an alternative rock band based in Hopkins, Minnesota that formed in 2002. Perhaps best known for their songs ""Africa"" and ""Time After Time"", the band consists of Kevin Truckenmiller (vocals, guitar, violin bass), Will Caesar (guitar, vocals), Brice Niehaus (bass), and Brandon Lanier (drums). Quietdrive released their debut album, titled 'When All That's Left Is You', on May 30, 2006 through Epic Records.

The band takes influences from contemporary alternative music as well as melodic hard rock groups. Read more on Last.fm"
434,Quincy Jones,"Quincy Delight Jones Jr. (March 14, 1933 – November 3, 2024) was an American record producer, songwriter, composer, arranger, and film and television producer. His career spanned over 70 years, with 28 Grammy Awards won out of 80 nominations, and a Grammy Legend Award in 1992. 

Jones came to prominence in the 1950s as a jazz arranger and conductor before working on pop music and film scores. He moved easily between genres, producing pop hit records Read more on Last.fm"
435,Quincy Punx,"Inspired by their love for beer, classic punk rock, and cheesy '80's horror movies, Quincy Punx were founded in 1990 by Bob Wood - Guitar, Dave DePriest - Vocals/Lyrics, and Mike Robertson - Drums/Vocals in St. Paul, Minnesota. Throughout the years, this core line-up has remained the same, but with a ""revolving door"" line-up of bass players. 
The first was Greg Martin, who had to leave due to chemical burns on a large percentage of his body and subsequently falling into a coma. Read more on Last.fm"
436,R. Kelly,"Robert Sylvester Kelly (born January 8, 1967 in Chicago, Illinois), better known by his stage name R. Kelly, is a Grammy award winning American R&B singer-songwriter, rapper, actor and record producer. Debuting in 1991 with the group Public Announcement, Kelly went solo in 1993, starting off a successful career with the release of the album 12 Play. He has since released a further nine studio albums, collaborated with Jay-Z on two albums and has had many successful singles including Bump N' Grind Read more on Last.fm"
437,Radiohead,"Radiohead is an English alternative rock band formed in Abingdon, Oxfordshire, in 1985. The band consists of Thom Yorke (vocals, guitar, piano, keyboards); brothers Jonny Greenwood (lead guitar, keyboards, other instruments) and Colin Greenwood (bass); Ed O'Brien (or EOB) (guitar, backing vocals); and Philip Selway (drums, percussion). They have worked with the producer Nigel Godrich and the cover artist Stanley Donwood since 1994. Radiohead's experimental approach is credited with advancing the sound of alternative rock. Read more on Last.fm"
438,Raffi,"1) Raffi Cavoukian, CM, OBC (born July 8, 1948), usually known simply as Raffi, is a popular children's entertainer in Canada, the United States, and the English speaking Western world at large. Some of his best known songs are ""Bananaphone,"" ""Baby Beluga,"" ""Down by the Bay,"" ""Shake My Sillies Out,"" and ""All I Really Need.""

Born in Cairo of Armenian parents, he spent his early years in Egypt before emigrating with his family to Toronto in 1958. Today, Raffi resides on Mayne Island near Victoria, British Columbia. Read more on Last.fm"
